,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,message
13250,130896,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-2007,2005-01-01,13.3,
8678,151759,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,503,Willowbrook,2005,2005-01-01,0.8,
15278,131006,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,310,Lower Manhattan,2005-2007,2005-01-01,3.8,
15277,131005,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,309,Union Square - Lower East Side,2005-2007,2005-01-01,3.9,
15276,130994,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,2005-01-01,8.1,
15275,154560,643,Annual vehicle miles traveled,million miles,per km2,CD,101,Financial District (CD1),2005,2005-01-01,41.5,
15274,151628,643,Annual vehicle miles traveled,million miles,per km2,UHF42,106,High Bridge - Morrisania,2005,2005-01-01,36.1,
4280,131322,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,201,Greenpoint,2005-2007,2005-01-01,5.8,
9543,130719,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,407,Southwest Queens,2005,2005-01-01,1.8,
1186,131231,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,206,Borough Park,2005-2007,2005-01-01,13.0,
15262,154579,643,Annual vehicle miles traveled,million miles,per km2,CD,208,Riverdale and Fieldston (CD8),2005,2005-01-01,18.2,
7709,154537,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,313,Coney Island (CD13),2005,2005-01-01,16.6,
9542,130709,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,307,Gramercy Park - Murray Hill,2005,2005-01-01,5.3,
15261,130983,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,105,Crotona -Tremont,2005-2007,2005-01-01,2.4,
9541,130720,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,408,Jamaica,2005,2005-01-01,1.8,
9540,130699,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,208,Canarsie - Flatlands,2005,2005-01-01,2.4,
15260,131001,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,305,Upper East Side,2005-2007,2005-01-01,4.0,
15259,130981,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,103,Fordham - Bronx Pk,2005-2007,2005-01-01,3.3,
15258,130999,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,303,East Harlem,2005-2007,2005-01-01,4.7,
8680,151739,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,303,East Harlem,2005,2005-01-01,2.1,
13249,131313,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,4,Queens,2005-2007,2005-01-01,23.5,
15252,130737,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,105,Crotona -Tremont,2005,2005-01-01,3.4,
15251,130735,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,103,Fordham - Bronx Pk,2005,2005-01-01,3.2,
9539,130729,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,Borough,2,Brooklyn,2005,2005-01-01,2.8,
15250,130791,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,105,Crotona -Tremont,2005-2007,2005-01-01,257.1,
15246,131025,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Borough,4,Queens,2005-2007,2005-01-01,4.8,
13267,130945,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,208,Canarsie - Flatlands,2005-2007,2005-01-01,25.1,
9555,131244,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,2005-01-01,11.6,
13268,130975,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Borough,2,Brooklyn,2005-2007,2005-01-01,29.3,
15186,130749,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,210,Coney Island - Sheepshead Bay,2005,2005-01-01,2.5,
4282,131333,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,301,Washington Heights,2005-2007,2005-01-01,6.6,
15129,131223,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,2005-01-01,192.7,
15128,131319,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,2005-01-01,18.9,
15127,131337,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,2005-01-01,1.4,
15126,131317,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2005-2007,2005-01-01,14.4,
3906,154607,643,Annual vehicle miles traveled,million miles,per km2,CD,406,Rego Park and Forest Hills (CD6),2005,2005-01-01,43.1,
15123,130887,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,2005-01-01,33.7,
3908,151663,643,Annual vehicle miles traveled,million miles,per km2,UHF42,503,Willowbrook,2005,2005-01-01,13.1,
15122,130885,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2005-2007,2005-01-01,28.1,
5329,130815,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,401,Long Island City - Astoria,2005-2007,2005-01-01,71.2,
4283,131315,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,2005-01-01,6.3,
15137,151741,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,305,Upper East Side,2005,2005-01-01,2.9,
15118,131018,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,502,Stapleton - St. George,2005-2007,2005-01-01,8.7,
13313,131152,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,402,West Queens,2005-2007,2005-01-01,11.7,
13314,131162,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,502,Stapleton - St. George,2005-2007,2005-01-01,13.1,
15111,130384,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,402,West Queens,2005-2007,2005-01-01,44.6,
15110,130394,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007,2005-01-01,80.3,
3912,154589,643,Annual vehicle miles traveled,million miles,per km2,CD,306,Park Slope and Carroll Gardens (CD6),2005,2005-01-01,32.4,
15108,130960,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,402,West Queens,2005-2007,2005-01-01,18.4,
15107,131225,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,2005-01-01,189.1,
13315,131066,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,502,Stapleton - St. George,2005-2007,2005-01-01,73.2,
4284,131247,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,401,Long Island City - Astoria,2005-2007,2005-01-01,18.2,
15106,131358,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,1,Bronx,2005-2007,2005-01-01,13.4,
15104,130889,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,2005-01-01,41.0,
15114,131008,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,402,West Queens,2005-2007,2005-01-01,3.0,
15139,151723,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,105,Crotona -Tremont,2005,2005-01-01,3.0,
15140,151634,643,Annual vehicle miles traveled,million miles,per km2,UHF42,205,Sunset Park,2005,2005-01-01,30.7,
15141,151632,643,Annual vehicle miles traveled,million miles,per km2,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2005-01-01,33.8,
13283,130906,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,2005-01-01,13.5,
10651,131354,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007,2005-01-01,6.1,
4460,154555,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,413,Queens Village (CD13),2005,2005-01-01,29.7,
4281,131353,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,501,Port Richmond,2005-2007,2005-01-01,8.0,
15179,154564,643,Annual vehicle miles traveled,million miles,per km2,CD,105,Midtown (CD5),2005,2005-01-01,52.6,
4986,154605,643,Annual vehicle miles traveled,million miles,per km2,CD,404,Elmhurst and Corona (CD4),2005,2005-01-01,37.1,
4988,151658,643,Annual vehicle miles traveled,million miles,per km2,UHF42,408,Jamaica,2005,2005-01-01,19.4,
15178,131002,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,306,Chelsea - Clinton,2005-2007,2005-01-01,4.0,
15173,130756,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,306,Chelsea - Clinton,2005,2005-01-01,4.6,
15170,130788,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,102,Northeast Bronx,2005-2007,2005-01-01,152.6,
4459,154596,643,Annual vehicle miles traveled,million miles,per km2,CD,313,Coney Island (CD13),2005,2005-01-01,17.1,
15160,130987,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,202,Downtown - Heights - Slope,2005-2007,2005-01-01,4.9,
15159,131012,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,406,Fresh Meadows,2005-2007,2005-01-01,4.9,
15156,151624,643,Annual vehicle miles traveled,million miles,per km2,UHF42,102,Northeast Bronx,2005,2005-01-01,16.7,
4989,151657,643,Annual vehicle miles traveled,million miles,per km2,UHF42,407,Southwest Queens,2005,2005-01-01,21.9,
15155,151631,643,Annual vehicle miles traveled,million miles,per km2,UHF42,202,Downtown - Heights - Slope,2005,2005-01-01,41.7,
13295,130939,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,2005-01-01,28.6,
4458,154598,643,Annual vehicle miles traveled,million miles,per km2,CD,315,Sheepshead Bay (CD15),2005,2005-01-01,19.9,
15154,151742,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,306,Chelsea - Clinton,2005,2005-01-01,3.4,
13296,130964,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,406,Fresh Meadows,2005-2007,2005-01-01,19.9,
8689,130763,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,403,Flushing - Clearview,2005,2005-01-01,2.7,
4992,154600,643,Annual vehicle miles traveled,million miles,per km2,CD,317,East Flatbush (CD17),2005,2005-01-01,37.8,
15144,131019,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,503,Willowbrook,2005-2007,2005-01-01,9.3,
4994,154601,643,Annual vehicle miles traveled,million miles,per km2,CD,318,Flatlands and Canarsie (CD18),2005,2005-01-01,17.6,
15143,151627,643,Annual vehicle miles traveled,million miles,per km2,UHF42,105,Crotona -Tremont,2005,2005-01-01,39.6,
15187,130381,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,2005-01-01,66.9,
15103,130927,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,2,Brooklyn,2005-2007,2005-01-01,19.6,
4471,154611,643,Annual vehicle miles traveled,million miles,per km2,CD,410,South Ozone Park and Howard Beach (CD10),2005,2005-01-01,28.5,
9556,131243,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2005-2007,2005-01-01,27.4,
15468,131069,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Citywide,1,New York City,2005-2007,2005-01-01,91.3,
15467,130829,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Citywide,1,New York City,2005-2007,2005-01-01,126.3,
9589,154515,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,203,Morrisania and Crotona (CD3),2005,2005-01-01,15.3,
9588,154575,643,Annual vehicle miles traveled,million miles,per km2,CD,204,Highbridge and Concourse (CD4),2005,2005-01-01,46.6,
6964,151753,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,407,Southwest Queens,2005,2005-01-01,1.4,
8914,131027,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,101,Kingsbridge - Riverdale,2005-2007,2005-01-01,68.3,
8601,151727,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,202,Downtown - Heights - Slope,2005,2005-01-01,2.7,
4932,154491,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,408,Hillcrest and Fresh Meadows (CD8),2005,2005-01-01,1.4,
7761,151671,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,101,Kingsbridge - Riverdale,2005,2005-01-01,22.6,
7758,151630,643,Annual vehicle miles traveled,million miles,per km2,UHF42,201,Greenpoint,2005,2005-01-01,30.2,
8913,131130,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,201,Greenpoint,2005-2007,2005-01-01,9.5,
15469,131165,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Citywide,1,New York City,2005-2007,2005-01-01,22.0,
15450,154562,643,Annual vehicle miles traveled,million miles,per km2,CD,103,Lower East Side and Chinatown (CD3),2005,2005-01-01,61.9,
15448,130985,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,107,Hunts Point - Mott Haven,2005-2007,2005-01-01,2.5,
15447,131003,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,307,Gramercy Park - Murray Hill,2005-2007,2005-01-01,3.2,
7261,151738,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,302,Central Harlem - Morningside Heights,2005,2005-01-01,0.9,
10664,131242,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,2005-01-01,39.1,
8623,151719,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,101,Kingsbridge - Riverdale,2005,2005-01-01,1.9,
5315,154451,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,110,Central Harlem (CD10),2005,2005-01-01,0.8,
8908,154508,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,108,Upper East Side (CD8),2005,2005-01-01,59.8,
15432,130739,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,107,Hunts Point - Mott Haven,2005,2005-01-01,3.5,
15431,130777,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Borough,2,Brooklyn,2005,2005-01-01,3.0,
8624,151737,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,301,Washington Heights,2005,2005-01-01,1.6,
8906,154536,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,312,Borough Park (CD12),2005,2005-01-01,21.5,
15449,131022,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Borough,1,Bronx,2005-2007,2005-01-01,3.9,
15470,130787,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,101,Kingsbridge - Riverdale,2005-2007,2005-01-01,88.3,
8600,151752,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,406,Fresh Meadows,2005,2005-01-01,2.1,
4930,151751,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,405,Ridgewood - Forest Hills,2005,2005-01-01,1.0,
9614,131158,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,408,Jamaica,2005-2007,2005-01-01,23.4,
1316,130795,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,202,Downtown - Heights - Slope,2005-2007,2005-01-01,99.3,
4924,154459,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,206,Belmont and East Tremont (CD6),2005,2005-01-01,2.8,
9613,131137,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,208,Canarsie - Flatlands,2005-2007,2005-01-01,17.6,
9612,131136,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,207,East Flatbush - Flatbush,2005-2007,2005-01-01,27.6,
9611,131166,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,1,Bronx,2005-2007,2005-01-01,34.1,
8921,131045,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,301,Washington Heights,2005-2007,2005-01-01,110.4,
9610,130811,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,307,Gramercy Park - Murray Hill,2005-2007,2005-01-01,61.7,
9594,154542,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,318,Flatlands and Canarsie (CD18),2005,2005-01-01,16.9,
4925,151645,643,Annual vehicle miles traveled,million miles,per km2,UHF42,305,Upper East Side,2005,2005-01-01,54.7,
10666,131227,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,2005-01-01,60.9,
4927,151703,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,405,Ridgewood - Forest Hills,2005,2005-01-01,25.1,
5082,154522,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,210,Throgs Neck and Co-op City (CD10),2005,2005-01-01,24.2,
13023,130931,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,2005-01-01,28.2,
5311,154465,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,212,Williamsbridge and Baychester (CD12),2005,2005-01-01,1.9,
13024,130949,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,301,Washington Heights,2005-2007,2005-01-01,27.6,
9592,154541,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,317,East Flatbush (CD17),2005,2005-01-01,36.4,
10665,131338,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,2005-01-01,4.2,
4929,151673,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,103,Fordham - Bronx Pk,2005,2005-01-01,22.8,
1328,131220,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,2005-01-01,69.4,
15481,154569,643,Annual vehicle miles traveled,million miles,per km2,CD,110,Central Harlem (CD10),2005,2005-01-01,31.4,
8915,131141,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,301,Washington Heights,2005-2007,2005-01-01,12.9,
6386,130814,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,310,Lower Manhattan,2005-2007,2005-01-01,71.6,
15480,131021,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Citywide,1,New York City,2005-2007,2005-01-01,4.9,
5312,154463,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,210,Throgs Neck and Co-op City (CD10),2005,2005-01-01,3.3,
8628,154475,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,310,Bay Ridge and Dyker Heights (CD10),2005,2005-01-01,1.8,
8676,151680,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2005-01-01,32.6,
15424,130831,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,2,Brooklyn,2005-2007,2005-01-01,99.3,
9183,131132,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,2005-01-01,37.9,
13182,130947,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,2005-01-01,33.8,
5324,151726,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,201,Greenpoint,2005,2005-01-01,2.0,
10656,131142,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2005-2007,2005-01-01,41.7,
10655,131046,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2005-2007,2005-01-01,292.5,
8658,151709,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,501,Port Richmond,2005,2005-01-01,7.3,
11628,130708,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,306,Chelsea - Clinton,2005,2005-01-01,4.9,
8905,154534,644,Annual vehicle miles travelled (cars),million miles,per km2,CD,310,Bay Ridge and Dyker Heights (CD10),2005,2005-01-01,28.8,
11627,130704,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,302,Central Harlem - Morningside Heights,2005,2005-01-01,3.9,
13207,130905,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,2005-01-01,11.1,
8660,130703,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,301,Washington Heights,2005,2005-01-01,4.1,
15322,131357,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Citywide,1,New York City,2005-2007,2005-01-01,7.1,
